service_id,call_id,vehicle_id,service_type,service_date,resolution_days,service_cost,status
114,197,94,Engine Mount Inspection,2024-12-30,2,1759,Resolved
115,198,95,Wheel Alignment,2025-08-30,5,686,Resolved
116,199,96,Oil Change,2025-05-08,5,610,Resolved
117,202,96,Clutch Service,2025-03-03,1,1740,Resolved
118,203,97,Engine Tuning,2024-12-18,5,2044,Resolved
119,204,97,Oil Seal Replacement,2025-01-04,2,1603,Resolved
120,206,98,Brake Inspection,2024-09-25,2,917,In Progress
121,207,99,Oil Seal Replacement,2025-05-22,2,1869,Open
122,208,100,Starting System Diagnosis,2024-07-22,3,1153,Resolved
123,211,101,Tyre Replacement,2026-04-06,4,2907,Resolved
124,213,101,Battery Replacement,2025-11-20,7,4119,Resolved
125,215,102,Clutch Service,2024-09-17,1,2715,Resolved
126,216,102,Engine Tuning,2024-11-21,5,1398,Resolved
127,217,102,Wheel Alignment,2025-10-19,5,670,Resolved
128,218,103,Battery Check,2024-06-06,7,364,Resolved
129,219,103,Engine Inspection,2024-06-05,7,1945,Resolved
130,220,104,Engine Tuning,2025-01-14,1,2418,Resolved
131,221,103,General Checkup,2025-09-20,1,372,Resolved
132,222,105,Battery Replacement,2024-06-29,2,2296,In Progress
133,225,105,Engine Inspection,2024-12-25,6,2008,Resolved
134,226,105,Gearbox Inspection,2025-05-06,3,2148,Open
135,227,106,Starting System Diagnosis,2024-07-22,4,961,Resolved
136,230,107,Tyre Replacement,2024-09-23,2,4848,In Progress
137,232,108,Engine Inspection,2025-05-01,6,2260,In Progress
138,233,108,Wheel Alignment,2026-04-25,6,1084,Resolved
139,234,108,Periodic Service,2024-07-12,2,2646,Resolved
140,236,109,Oil Seal Replacement,2025-05-23,5,860,Resolved
141,237,109,Engine Tuning,2025-07-04,4,1675,Resolved
142,242,110,Electrical Repair,2025-04-05,1,2954,Resolved
143,244,111,Battery Check,2026-03-20,1,505,Resolved
144,245,111,Oil Seal Replacement,2025-11-06,7,2268,Resolved
145,246,113,Engine Inspection,2026-04-30,9,1949,Resolved
146,247,113,Engine Inspection,2024-09-04,13,1824,Resolved
147,249,114,Battery Replacement,2025-05-21,4,3257,Resolved
148,250,114,Engine Inspection,2024-12-08,4,1246,Resolved
149,251,114,Engine Tuning,2025-11-06,4,2431,In Progress
150,254,116,Battery Replacement,2024-10-27,3,2094,Resolved
151,255,116,Oil Seal Replacement,2025-05-29,5,1836,Resolved
152,259,118,Starter Inspection,2025-12-25,5,1138,Resolved
153,260,118,Clutch Service,2025-08-02,4,1938,Resolved
154,261,118,Engine Mount Inspection,2025-02-21,3,959,Resolved
155,263,119,Starter Inspection,2025-10-18,2,679,In Progress
156,264,119,Electrical Diagnosis,2025-02-14,4,609,Open
157,265,119,Exhaust Inspection,2025-12-13,3,1269,Resolved
158,266,120,Starter Inspection,2024-10-31,1,860,Resolved
159,268,121,Engine Tuning,2025-08-17,4,1384,Resolved
160,269,121,Periodic Service,2026-02-27,1,2055,Resolved
161,271,122,Chain Adjustment,2025-01-19,3,395,Resolved
162,273,122,Suspension Service,2024-11-30,2,2566,Resolved
163,274,123,Engine Tuning,2026-03-27,1,2475,Resolved
164,275,123,Battery Check,2025-10-28,2,415,Resolved
165,276,124,Tyre Replacement,2026-01-11,5,6871,Resolved
166,281,126,Exhaust Inspection,2025-07-06,3,1073,Open
167,283,128,Battery Check,2025-11-03,1,335,Open
168,285,128,Engine Inspection,2025-05-14,11,1423,In Progress
169,286,128,Tyre Replacement,2024-12-12,2,4019,Open
170,287,128,Engine Inspection,2025-03-11,13,1450,Open
171,288,129,Engine Inspection,2026-02-06,5,2168,Resolved
172,289,130,Battery Replacement,2025-06-10,2,3366,Open
173,292,132,Battery Check,2024-07-01,5,477,Resolved
174,293,132,Oil Seal Replacement,2025-10-22,5,1855,Open
175,294,133,Engine Inspection,2025-01-16,5,1762,In Progress
176,295,133,Battery Check,2026-04-26,3,745,Resolved
177,297,133,Engine Mount Inspection,2024-12-19,4,1006,Open
178,298,133,Oil Seal Replacement,2025-06-27,5,1387,Resolved
179,300,134,Tyre Replacement,2025-12-25,4,3326,Open
180,301,134,Engine Inspection,2024-11-29,7,1378,Resolved
181,302,134,Fuel Line Repair,2026-02-01,7,2312,Resolved
182,303,134,Suspension Service,2025-10-05,2,1311,Resolved
183,304,135,Engine Tuning,2025-04-21,5,1511,Resolved
184,306,135,Oil Seal Replacement,2025-03-05,6,2471,Resolved
185,307,135,Engine Inspection,2025-03-21,4,2154,Open
186,308,136,Battery Replacement,2024-12-19,7,2100,Open
187,310,136,Tyre Replacement,2026-01-12,2,6677,Resolved
188,312,137,Suspension Service,2026-01-30,1,4563,Resolved
189,313,139,Battery Replacement,2024-07-05,4,2074,Resolved
190,314,139,Engine Tuning,2025-04-25,4,2737,Resolved
191,317,139,Oil Change,2024-12-19,5,730,Resolved
192,318,141,Battery Check,2025-06-30,4,500,Resolved
193,320,140,Periodic Service,2024-06-08,7,1586,Resolved
194,321,141,Gearbox Inspection,2025-06-04,4,1513,In Progress
195,322,140,Wheel Alignment,2025-06-02,1,1151,Resolved
196,325,145,Chain Adjustment,2025-04-09,2,497,Resolved
197,326,145,Engine Inspection,2024-08-26,1,1396,Resolved
198,327,144,Engine Inspection,2024-12-26,10,2144,Resolved
199,330,146,Electrical Repair,2025-10-11,2,2928,Open
200,331,146,Brake Repair,2025-12-01,15,1559,Resolved
201,333,150,Suspension Service,2025-12-23,1,1854,In Progress
202,334,150,Oil Change,2024-06-27,7,1445,Open
203,336,148,Engine Inspection,2025-11-14,15,2181,Open
204,337,148,Gearbox Inspection,2024-09-08,2,1633,Resolved
205,338,151,Gearbox Inspection,2024-06-25,2,3006,Resolved
206,340,151,Exhaust Inspection,2025-02-24,2,1398,Resolved
207,341,153,Electrical Diagnosis,2026-04-15,3,1597,Resolved
208,342,154,Tyre Replacement,2025-02-16,3,6083,Resolved
209,343,153,Electrical Diagnosis,2025-02-11,2,1646,In Progress
210,344,153,General Checkup,2025-01-31,3,910,Open
211,345,153,Battery Replacement,2025-01-03,2,2355,Resolved
212,351,157,Fuel Line Repair,2025-05-14,14,3495,Resolved
213,352,158,Electrical Diagnosis,2024-08-26,1,1175,Resolved
214,353,156,Tyre Replacement,2025-11-17,1,5062,Open
215,354,157,Engine Tuning,2025-09-25,2,1071,Resolved
216,355,157,Brake Repair,2025-11-05,9,2812,Resolved
217,357,159,Exhaust Inspection,2026-01-22,1,1489,Resolved
218,358,159,Electrical Diagnosis,2024-08-06,5,1864,Resolved
219,359,159,Starter Inspection,2026-01-22,1,938,In Progress
220,360,159,Exhaust Inspection,2025-10-20,5,1093,Resolved
221,361,161,Clutch Service,2026-04-01,5,2753,In Progress
222,362,161,Tyre Replacement,2026-02-10,2,6795,Resolved
223,363,161,Electrical Repair,2024-10-15,3,2940,Resolved
224,365,162,Starter Inspection,2026-02-10,2,1147,Resolved
225,366,162,Clutch Service,2024-09-24,4,3265,Resolved
226,367,162,Clutch Service,2024-10-09,4,3298,Resolved
227,368,162,Oil Change,2024-11-29,3,1407,Resolved
228,371,163,Battery Replacement,2025-05-20,2,3525,Resolved
229,372,163,Chain Adjustment,2025-10-13,6,420,Resolved
230,373,164,Engine Tuning,2026-03-03,2,2971,Resolved
231,374,165,Wheel Alignment,2024-10-09,4,697,Open
232,377,167,Battery Replacement,2026-04-23,6,4331,Resolved
233,379,169,Wheel Alignment,2025-04-19,4,937,In Progress
234,381,169,Battery Check,2024-06-24,5,707,In Progress
235,382,170,Engine Mount Inspection,2025-06-17,5,1386,In Progress
236,385,171,Oil Seal Replacement,2025-04-10,2,905,Resolved
237,387,172,Brake Inspection,2025-11-04,4,947,Open
238,390,174,Battery Check,2025-09-30,2,735,In Progress
239,391,173,Battery Check,2024-09-01,3,441,Resolved
240,393,176,Gearbox Inspection,2025-12-13,2,2834,Open
241,395,177,Chain Adjustment,2024-10-19,1,493,Resolved
242,396,177,Oil Seal Replacement,2024-10-28,4,1645,In Progress
243,398,177,Periodic Service,2025-11-24,5,2251,Resolved
244,399,177,Oil Seal Replacement,2024-12-10,4,1370,Resolved
245,400,178,Exhaust Inspection,2025-05-09,5,1705,Resolved
246,402,180,Gearbox Inspection,2025-08-05,3,2090,Resolved
247,403,181,Gearbox Inspection,2026-03-08,4,1627,Resolved
248,404,182,Electrical Diagnosis,2025-07-15,1,943,Resolved
249,405,182,Tyre Replacement,2024-09-18,3,6130,Resolved
250,406,182,Tyre Replacement,2025-05-05,3,6931,In Progress
251,408,184,Engine Inspection,2024-12-15,13,2043,Resolved
252,409,186,Engine Tuning,2025-06-29,5,1592,Resolved
253,410,186,Engine Inspection,2024-12-13,10,1799,Resolved
254,413,187,Battery Replacement,2025-06-26,4,3051,In Progress
255,414,187,Oil Seal Replacement,2025-09-09,4,1857,Resolved
256,416,188,Battery Replacement,2025-09-27,6,2989,Resolved
257,418,188,Battery Replacement,2025-07-01,2,3931,Resolved
258,419,188,Oil Seal Replacement,2026-01-12,4,2115,In Progress
259,420,190,Chain Adjustment,2025-08-24,2,367,Resolved
260,421,190,Battery Replacement,2025-11-30,6,3904,Resolved
261,424,191,Battery Check,2025-02-03,3,526,Open
262,425,193,Brake Inspection,2026-05-30,3,967,Resolved
263,426,192,Battery Check,2025-05-18,1,643,Resolved
264,427,192,Periodic Service,2024-09-10,3,2047,Resolved
265,428,192,Electrical Diagnosis,2025-09-08,2,1201,Resolved
266,432,194,Suspension Service,2024-08-03,5,2858,Resolved
267,433,194,Exhaust Inspection,2025-02-26,1,868,Resolved
268,435,196,Chain Adjustment,2024-08-11,4,309,Open
269,437,196,Battery Replacement,2024-06-30,7,2204,Resolved
270,438,195,Brake Repair,2025-05-03,15,2294,In Progress
271,439,197,Oil Seal Replacement,2025-07-25,2,2015,Resolved
272,440,197,Battery Check,2025-06-24,3,323,In Progress
273,441,197,Oil Change,2025-11-19,4,805,Resolved
274,447,202,Battery Check,2024-09-07,2,452,Resolved
275,449,203,Engine Mount Inspection,2025-03-13,3,1274,Resolved
276,450,203,Gearbox Inspection,2024-09-09,2,2228,In Progress
277,451,203,Battery Check,2025-02-08,7,559,Resolved
278,452,203,Fuel Line Repair,2026-03-19,9,1937,Resolved
279,454,205,Oil Change,2026-04-26,6,1236,Resolved
280,457,205,Battery Check,2025-07-12,4,466,Resolved
281,458,207,Oil Seal Replacement,2025-12-01,2,1495,Resolved
282,460,208,Battery Check,2025-11-29,1,615,Open
283,461,209,Oil Seal Replacement,2025-03-12,4,2480,Resolved
284,462,209,Engine Tuning,2025-02-19,5,2351,In Progress
285,464,211,Engine Inspection,2026-02-13,8,2061,Resolved
286,465,211,Tyre Replacement,2024-06-25,4,6666,In Progress
287,466,211,Tyre Replacement,2024-09-16,4,6434,Resolved
288,467,211,Oil Change,2025-09-14,2,1369,In Progress
289,468,213,Fuel Line Repair,2026-03-26,6,1177,Resolved
290,471,213,Engine Mount Inspection,2025-02-08,4,786,Open
291,472,215,Engine Inspection,2026-02-04,12,1950,Resolved
292,479,216,Oil Seal Replacement,2025-06-08,5,1727,Resolved
293,482,218,Engine Inspection,2026-01-04,3,1971,In Progress
294,483,218,Engine Inspection,2025-12-20,11,2031,Resolved
295,484,219,Engine Inspection,2024-08-10,8,2382,In Progress
296,485,219,Oil Seal Replacement,2024-12-29,6,1299,Resolved
297,486,220,Engine Tuning,2025-06-08,3,1809,Resolved
298,488,220,Oil Seal Replacement,2026-01-20,4,1648,Resolved
299,489,220,Oil Seal Replacement,2026-01-25,4,1795,Resolved
300,491,221,Periodic Service,2025-04-07,3,2903,Resolved
301,494,223,Suspension Service,2025-05-25,1,3724,Resolved
302,495,223,Battery Replacement,2026-03-30,7,2887,Resolved
303,496,225,Starting System Diagnosis,2025-08-29,4,1551,Resolved
304,497,225,Brake Inspection,2024-09-04,4,684,Resolved
305,499,226,Battery Replacement,2024-08-20,6,2038,Resolved
306,502,226,Electrical Diagnosis,2024-06-09,1,1511,In Progress
307,503,226,Fuel Line Repair,2025-04-04,12,1756,Resolved
308,506,228,Tyre Replacement,2025-06-12,5,3188,Resolved
309,507,228,Gearbox Inspection,2025-10-17,1,1287,In Progress
310,508,228,Battery Check,2026-03-01,4,408,Open
311,511,230,Engine Inspection,2025-08-25,10,2124,Resolved
312,516,231,Tyre Replacement,2024-12-11,2,3032,Open
313,519,233,Oil Seal Replacement,2024-06-15,3,1841,Open
314,521,235,Tyre Replacement,2025-07-26,4,6147,Resolved
315,522,235,Engine Tuning,2024-08-07,3,1160,In Progress
316,524,236,Brake Repair,2025-05-16,14,1934,In Progress
317,525,236,Brake Repair,2024-07-23,8,2156,Resolved
318,526,236,Fuel Line Repair,2026-04-09,15,2518,Open
319,527,236,General Checkup,2026-03-13,3,807,Open
320,529,237,Oil Seal Replacement,2024-10-26,4,2251,Resolved
321,530,237,Battery Check,2025-08-26,5,429,Resolved
322,531,237,Periodic Service,2025-12-06,5,2097,Resolved
323,535,239,Clutch Service,2025-06-21,5,3767,Resolved
324,538,240,Fuel Line Repair,2025-01-15,7,1655,In Progress
325,540,243,Brake Inspection,2025-10-27,1,735,Resolved
326,541,244,Battery Replacement,2025-04-20,4,2508,In Progress
327,542,246,Brake Inspection,2025-03-20,3,736,Open
328,544,247,Clutch Service,2026-04-02,3,4111,Resolved
329,546,247,Electrical Diagnosis,2024-09-06,5,670,Resolved
330,549,248,Electrical Repair,2026-01-29,1,3237,Resolved
331,551,248,Battery Check,2026-03-19,3,739,Resolved
332,552,249,Brake Inspection,2025-08-10,1,845,Resolved
333,554,249,Engine Inspection,2025-04-16,13,1505,Resolved
334,555,249,Battery Check,2025-01-20,5,615,Resolved
335,557,250,Chain Adjustment,2025-04-24,4,733,Resolved
336,560,250,Brake Repair,2025-04-30,12,2366,In Progress
337,561,251,Battery Check,2025-03-15,2,600,Resolved
338,562,251,Brake Inspection,2025-06-05,3,898,Resolved
339,563,251,Engine Tuning,2025-03-05,5,1370,Resolved
340,564,251,Battery Replacement,2024-12-14,2,2389,Open
341,565,252,Wheel Alignment,2025-09-06,5,599,In Progress
342,569,256,Electrical Repair,2026-01-05,1,1026,Open
343,571,255,Chain Adjustment,2024-07-30,3,714,In Progress
344,573,257,Engine Inspection,2025-05-11,4,2063,Resolved
345,574,258,Battery Replacement,2025-11-06,6,4269,Resolved
346,575,258,Battery Check,2025-11-19,5,787,Resolved
347,577,258,Tyre Replacement,2025-05-04,2,6017,Resolved
348,579,259,Brake Inspection,2025-10-18,6,782,Resolved
349,582,260,Oil Seal Replacement,2025-09-11,4,1970,Resolved
350,585,262,Oil Seal Replacement,2026-04-27,6,839,In Progress
351,586,261,Tyre Replacement,2025-09-14,4,4529,Resolved
352,589,262,Brake Inspection,2024-12-31,6,769,Resolved
353,591,266,Battery Replacement,2026-03-22,7,2921,Resolved
354,592,265,Oil Seal Replacement,2026-01-29,5,2358,Open
355,593,268,Engine Tuning,2024-07-04,5,1375,Resolved
356,595,270,Engine Inspection,2025-01-03,9,1561,Resolved
357,596,271,Engine Inspection,2024-06-18,6,1699,In Progress
358,604,274,Battery Replacement,2025-10-30,7,4241,Resolved
359,605,275,Engine Inspection,2024-08-11,7,1438,Resolved
360,606,275,Electrical Diagnosis,2026-03-18,1,1841,Open
361,608,276,Brake Repair,2025-04-23,12,2908,Resolved
362,609,276,Brake Inspection,2025-03-20,7,939,Resolved
363,610,276,Chain Adjustment,2025-12-19,3,464,In Progress
364,611,277,Brake Repair,2025-09-11,13,2935,Resolved
365,612,278,Brake Inspection,2024-12-04,6,756,Resolved
366,614,280,Battery Check,2026-01-13,4,651,Resolved
367,617,282,Engine Inspection,2026-04-26,14,1810,In Progress
368,619,282,Oil Seal Replacement,2025-04-22,6,1471,Open
369,620,282,Tyre Replacement,2025-05-06,4,3202,Open
370,621,283,Tyre Replacement,2024-06-24,2,4363,Resolved
371,622,283,Engine Tuning,2025-06-03,5,2141,In Progress
372,623,283,Tyre Replacement,2025-07-23,4,5239,Resolved
373,624,284,Brake Repair,2025-10-16,9,3823,In Progress
374,626,284,Battery Replacement,2024-09-13,2,2231,Open
375,628,284,Brake Inspection,2024-12-04,3,612,In Progress
376,629,285,Tyre Replacement,2024-07-16,1,4013,Resolved
377,630,285,Oil Seal Replacement,2026-05-10,7,1738,In Progress
378,631,286,Tyre Replacement,2026-03-07,3,3957,In Progress
379,633,287,Tyre Replacement,2025-04-27,2,5927,In Progress
380,634,288,Battery Check,2025-03-09,5,490,Resolved
381,635,288,Engine Inspection,2025-05-29,5,1965,Resolved
382,637,289,Engine Tuning,2024-08-12,1,1115,Resolved
383,640,290,Starter Inspection,2025-02-27,1,770,Resolved
384,642,290,Electrical Diagnosis,2024-07-17,4,1634,Open
385,643,290,Chain Adjustment,2025-04-06,2,353,Resolved
386,644,290,Fuel Line Repair,2025-02-28,6,2233,Resolved
387,646,291,Gearbox Inspection,2025-02-04,3,3426,Resolved
388,647,291,Suspension Service,2025-01-29,1,3752,Resolved
389,650,292,Battery Check,2025-07-11,3,787,Resolved
390,652,295,Engine Inspection,2024-10-29,4,2455,In Progress
391,654,296,Engine Tuning,2025-11-03,1,2264,Resolved
392,656,296,Periodic Service,2026-03-08,1,2238,Resolved
393,657,297,Chain Adjustment,2024-11-11,1,729,Resolved
394,660,298,Engine Inspection,2024-07-25,11,1836,Open
395,661,298,Engine Inspection,2025-06-26,10,2132,Resolved
396,664,299,Brake Repair,2024-06-27,8,1969,Resolved
397,665,299,Chain Adjustment,2025-10-14,4,759,Resolved
398,667,299,Gearbox Inspection,2025-06-12,1,2637,Resolved
399,669,300,Electrical Repair,2025-05-14,5,1467,Open
400,670,301,General Checkup,2025-08-13,3,499,Open
401,671,301,Battery Check,2024-06-24,2,564,Resolved
402,672,301,Wheel Alignment,2024-11-21,3,1073,In Progress
403,676,302,Battery Replacement,2025-03-30,6,3148,In Progress
404,677,302,Oil Seal Replacement,2026-01-28,7,1794,Resolved
405,678,303,Engine Tuning,2025-12-01,4,2957,In Progress
406,679,303,Exhaust Inspection,2025-04-05,3,1167,Open
407,682,304,Periodic Service,2025-12-03,4,2093,Resolved
408,688,307,Starting System Diagnosis,2025-11-21,1,1665,Resolved
409,689,307,Battery Replacement,2026-03-20,2,3303,Resolved
410,691,309,Brake Inspection,2025-09-06,4,771,In Progress
411,695,311,Suspension Service,2026-05-13,1,1404,In Progress
412,700,312,Exhaust Inspection,2024-10-02,1,1695,Open
413,701,313,Engine Tuning,2024-07-26,3,1119,Resolved
414,703,315,Engine Inspection,2025-01-19,5,1493,Resolved
415,705,315,Starting System Diagnosis,2024-10-22,2,1821,Open
416,706,315,Chain Adjustment,2026-03-20,5,612,Resolved
417,707,316,Gearbox Inspection,2025-01-04,2,2411,Open
418,710,317,Battery Check,2025-07-29,5,396,Resolved
419,713,319,Clutch Service,2025-11-25,4,3682,In Progress
420,717,321,Tyre Replacement,2025-10-06,4,4571,Resolved
421,718,323,Oil Seal Replacement,2025-05-18,7,2401,Open
422,719,323,Electrical Diagnosis,2025-04-05,1,1902,Resolved
423,720,325,Battery Check,2024-11-21,3,420,Resolved
424,721,326,Electrical Diagnosis,2026-03-05,5,1322,Resolved
425,722,326,Oil Seal Replacement,2025-02-04,7,1970,In Progress
426,723,326,Fuel Line Repair,2025-05-18,5,3237,Resolved
427,724,326,Electrical Diagnosis,2025-04-22,2,619,Resolved
428,725,326,Engine Mount Inspection,2025-02-17,4,744,Resolved
429,727,327,Starter Inspection,2026-03-13,5,590,Resolved
430,728,331,Tyre Replacement,2025-07-16,1,3570,Resolved
431,730,330,Wheel Alignment,2024-07-21,5,1031,Open
432,731,332,Engine Tuning,2026-04-23,4,2963,In Progress
433,732,332,Battery Check,2024-07-11,1,540,Resolved
434,737,333,Engine Inspection,2025-08-07,10,1377,Resolved
435,738,335,Battery Check,2025-10-26,4,416,Open
436,739,335,Engine Tuning,2024-08-15,1,1144,Resolved
437,740,336,Engine Tuning,2026-02-12,5,1103,In Progress
438,742,336,Oil Seal Replacement,2024-08-08,3,1733,Resolved
439,743,336,Tyre Replacement,2026-04-10,1,5833,Open
440,744,336,Engine Tuning,2024-10-21,4,1938,Resolved
441,746,337,Tyre Replacement,2025-04-21,1,5869,Resolved
442,747,337,Battery Check,2025-07-31,2,321,Open
443,748,337,Oil Seal Replacement,2025-11-21,2,1339,Resolved
444,749,339,Engine Inspection,2025-05-27,6,1654,Resolved
445,750,339,Gearbox Inspection,2025-12-01,3,1434,Resolved
446,751,339,Wheel Alignment,2026-01-30,4,1138,In Progress
447,752,338,Wheel Alignment,2025-12-31,5,912,Resolved
448,754,340,Battery Check,2026-04-08,2,573,In Progress
449,755,341,Electrical Diagnosis,2026-05-22,3,1792,In Progress
450,759,342,Tyre Replacement,2025-01-02,1,6554,Open
451,762,345,Tyre Replacement,2024-09-19,5,3742,Resolved
